epoch,accuracy,loss,val_accuracy,val_loss
0,0.24,1.6110858459006996,0.25225,1.5693865256235005
1,0.25675,1.5729643504247068,0.24425,1.5612902609854937
2,0.273,1.5106946590095758,0.23875,1.533387577548623
3,0.249,1.5199092378206551,0.24625,1.5186804873235524
4,0.25375,1.5062132599949836,0.25975,1.5060068258419632
5,0.2575,1.493297168329358,0.261,1.4851252443008125
6,0.258,1.4881252330578865,0.2535,1.4793580401390791
7,0.2575,1.4841759419366718,0.2495,1.4851927984878421
8,0.26025,1.4691621662080288,0.245,1.477343726888299
9,0.27325,1.4631712361425162,0.256,1.4722179364711045
10,0.26225,1.4630435179919004,0.27625,1.4514734434336425
11,0.26375,1.454963336750865,0.26575,1.450458520270884
12,0.269,1.451196178495884,0.26175,1.4559759989753365
13,0.27775,1.446227065950632,0.27325,1.4427581974714994
14,0.26175,1.4480813602805138,0.26625,1.449492167212069
15,0.26725,1.4446745705679058,0.273,1.4362332786917686
16,0.268,1.4388054256662726,0.28275,1.4204414473846554
17,0.271,1.4319979063272477,0.282,1.4283207925781607
18,0.27725,1.4357650746628643,0.28675,1.4289102697074414
19,0.28575,1.4161926928088069,0.28225,1.4230612762868404
20,0.29625,1.4123870278075337,0.28875,1.4160414247252047
21,0.29425,1.4019465492106975,0.28675,1.4122043988332151
22,0.30425,1.4072523311860858,0.306,1.4034067695960402
23,0.30925,1.4013938409611584,0.28875,1.4058878326863051
24,0.3065,1.3945025279968977,0.3025,1.3917940149214119
25,0.30425,1.3833461421951652,0.30125,1.387138173609972
26,0.31375,1.3691182234473527,0.315,1.3850293520316481
27,0.32575,1.362837693180889,0.3195,1.364942283384502
28,0.324,1.3642640211358665,0.32325,1.3654418876245618
29,0.346,1.3378877517841756,0.33375,1.3473604235481471
30,0.34175,1.3395766881369053,0.33475,1.3434597158860415
31,0.3575,1.3174038679413498,0.35025,1.327985850321129
32,0.3445,1.3259547444246709,0.35125,1.3213006661571562
33,0.3485,1.3118427628204226,0.35875,1.3076205330230295
34,0.3575,1.2885851396284997,0.35975,1.2926170511730015
35,0.37,1.275989372458309,0.365,1.2838725517131389
36,0.38275,1.2752260690145194,0.372,1.2715057047754525
37,0.37925,1.2617389685064555,0.356,1.2727455623149873
38,0.39225,1.2412020173426717,0.3865,1.254777490787208
39,0.395,1.2285163912866264,0.402,1.2104039031788707
40,0.3975,1.212514587327838,0.397,1.222008002411574
41,0.4005,1.2062039762213825,0.407,1.1950580947957934
42,0.41375,1.196292827444151,0.4265,1.1764810619745403
43,0.43175,1.1591789229083806,0.42825,1.1624773535616695
44,0.43,1.148735517334193,0.4385,1.1318529441542924
45,0.44575,1.1276599736157804,0.4265,1.130271364852786
46,0.443,1.1125557930916548,0.45225,1.1027067472301424
47,0.4555,1.099268107643351,0.4525,1.097660503037274
48,0.458,1.0851491165217013,0.4545,1.0720998025070876
49,0.475,1.0680649040769785,0.46625,1.071179077045992
50,0.4705,1.0620232113655657,0.4695,1.0556819360293448
51,0.463,1.0396301833577455,0.471,1.0439497548099608
52,0.4825,1.054636312689632,0.4825,1.0462834841357544
53,0.48575,1.0371703310497105,0.47975,1.0143888759836555
54,0.49,1.0306383562348782,0.4895,1.0131360860606655
55,0.49625,1.000476396560669,0.48625,1.007182246496901
56,0.505,1.0043923853524028,0.50075,0.9957364594433457
57,0.5065,0.991170636119321,0.50625,0.9863440397279337
58,0.5065,0.9867415974056348,0.50825,0.9763950987476856
59,0.50725,0.9769302985463292,0.518,0.9697998888846486
60,0.52,0.9598488287571818,0.518,0.9485008778758347
61,0.52425,0.9538477468537166,0.51325,0.9675093475598842
62,0.5385,0.9417360114054755,0.53225,0.9359478130592034
63,0.549,0.942730537363328,0.52325,0.947786899750121
64,0.53675,0.9326258470593021,0.53025,0.9446851292904467
65,0.54475,0.927597817719914,0.55075,0.9093048042366281
66,0.551,0.9122667908840812,0.54825,0.9376827690238133
67,0.551,0.9236900795875117,0.561,0.9012734086886048
68,0.558,0.9017653178609908,0.55175,0.9058726878571324
69,0.5525,0.9163675592853687,0.557,0.8920161094060167
70,0.55375,0.9031172662004828,0.572,0.8903210690920241
71,0.56475,0.8886256144926883,0.57125,0.8796169547918252
72,0.575,0.8922880117003806,0.573,0.8962754110954702
73,0.5875,0.8690627858275548,0.57125,0.8790251751192846
74,0.57575,0.8853304792116397,0.58025,0.8692977872197516
75,0.5885,0.8673656768160872,0.58125,0.8582430455293506
76,0.58175,0.8618634236273356,0.57175,0.8677763312985189
77,0.599,0.8516114177529235,0.57725,0.8615856850626878
78,0.60325,0.8449580658804625,0.591,0.8489007542552427
