Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
ER,disart,0.985,0.98,0.991,0.988,0.988,0.986,0.988,0.985,0.989,0.987
ER,malleusfix,0.949,0.927,0.932,0.939,0.948,0.959,0.939,0.923,0.949,0.924
ER,normal,0.993,0.99,0.991,0.991,0.994,0.988,0.991,0.992,0.993,0.99
ER,stapesfix,0.934,0.955,0.95,0.94,0.935,0.925,0.939,0.966,0.93,0.959
ER,All,0.96525,0.9630000000000001,0.966,0.9645,0.9662499999999999,0.9644999999999999,0.96425,0.9664999999999999,0.96525,0.965
Hfp,malleusfix,0.829,0.898,0.878,0.891,0.853,0.886,0.883,0.894,0.837,0.857
Hfp,normal,0.946,0.938,0.938,0.938,0.94,0.937,0.93,0.933,0.933,0.927
Hfp,stapesfix,0.901,0.892,0.883,0.896,0.914,0.901,0.9,0.898,0.917,0.903
Hfp,All,0.892,0.9093333333333332,0.8996666666666666,0.9083333333333333,0.9023333333333333,0.908,0.9043333333333333,0.9083333333333333,0.8956666666666667,0.8956666666666667
Humbo,disart,0.945,0.958,0.948,0.96,0.962,0.948,0.958,0.957,0.948,0.958
Humbo,malleusfix,0.955,0.965,0.972,0.954,0.961,0.961,0.964,0.952,0.972,0.971
Humbo,normal,0.947,0.954,0.958,0.943,0.954,0.965,0.951,0.952,0.947,0.951
Humbo,stapesfix,0.95,0.956,0.937,0.953,0.962,0.955,0.941,0.96,0.949,0.949
Humbo,All,0.9492499999999999,0.9582499999999999,0.9537500000000001,0.9524999999999999,0.9597499999999999,0.9572499999999999,0.9534999999999999,0.9552499999999999,0.954,0.9572499999999999
Zme,disart,0.96,0.96,0.942,0.95,0.942,0.952,0.952,0.945,0.948,0.952
Zme,malleusfix,0.976,0.957,0.953,0.97,0.968,0.948,0.972,0.968,0.974,0.958
Zme,normal,0.967,0.97,0.98,0.974,0.974,0.973,0.97,0.969,0.966,0.973
Zme,stapesfix,0.936,0.956,0.954,0.948,0.936,0.958,0.939,0.94,0.94,0.962
Zme,All,0.95975,0.9607499999999999,0.9572499999999999,0.9605,0.955,0.9577499999999999,0.95825,0.9554999999999999,0.957,0.9612499999999999
