Grandeza,Condicao,0,1,2,3,4,5,6,7,8,9
ER,disart,0.987,0.987,0.986,0.988,0.982,0.988,0.982,0.989,0.984,0.99
ER,malleusfix,0.993,0.999,0.991,0.993,0.993,0.995,0.998,0.995,0.996,0.994
ER,normal,0.948,0.939,0.955,0.947,0.943,0.951,0.943,0.946,0.949,0.946
ER,stapesfix,0.937,0.933,0.929,0.935,0.939,0.935,0.937,0.937,0.93,0.946
ER,All,0.96625,0.9644999999999999,0.9652499999999999,0.96575,0.96425,0.96725,0.9650000000000001,0.96675,0.96475,0.9689999999999999
Hfp,malleusfix,0.941,0.94,0.941,0.94,0.943,0.939,0.95,0.935,0.945,0.94
Hfp,normal,0.853,0.855,0.86,0.855,0.859,0.866,0.865,0.857,0.862,0.868
Hfp,stapesfix,0.983,0.98,0.979,0.979,0.983,0.982,0.981,0.983,0.98,0.984
Hfp,All,0.9256666666666667,0.9249999999999999,0.9266666666666666,0.9246666666666666,0.9283333333333333,0.9289999999999999,0.9319999999999999,0.9249999999999999,0.9289999999999999,0.9306666666666666
Humbo,disart,0.913,0.926,0.912,0.915,0.925,0.913,0.935,0.916,0.924,0.91
Humbo,malleusfix,0.947,0.939,0.938,0.924,0.938,0.925,0.933,0.918,0.931,0.931
Humbo,normal,0.722,0.722,0.706,0.735,0.738,0.682,0.72,0.74,0.703,0.752
Humbo,stapesfix,0.735,0.715,0.76,0.708,0.697,0.749,0.733,0.697,0.727,0.712
Humbo,All,0.8292499999999999,0.8254999999999999,0.829,0.8205,0.8245,0.81725,0.83025,0.81775,0.8212499999999999,0.8262499999999999
Zme,disart,0.949,0.943,0.947,0.949,0.949,0.939,0.946,0.947,0.951,0.947
Zme,malleusfix,0.986,0.984,0.983,0.976,0.985,0.98,0.983,0.986,0.985,0.973
Zme,normal,0.825,0.807,0.836,0.808,0.843,0.834,0.828,0.851,0.857,0.837
Zme,stapesfix,0.843,0.855,0.83,0.86,0.81,0.834,0.842,0.805,0.825,0.841
Zme,All,0.9007499999999999,0.89725,0.899,0.8982499999999999,0.89675,0.89675,0.8997499999999999,0.89725,0.9045000000000001,0.8995
