Grandeza,Condicao,0,1,2,3,4
ER,disart,0.989,0.988,0.99,0.988,0.992
ER,malleusfix,0.986,0.989,0.987,0.983,0.986
ER,normal,0.991,0.995,0.993,0.991,0.989
ER,stapesfix,0.992,0.99,0.993,0.989,0.989
ER,All,0.9895,0.9904999999999999,0.9907499999999999,0.98775,0.989
Hfp,malleusfix,0.973,0.979,0.976,0.973,0.978
Hfp,normal,0.993,0.996,0.997,0.997,0.997
Hfp,stapesfix,0.971,0.967,0.976,0.972,0.97
Hfp,All,0.979,0.9806666666666667,0.983,0.9806666666666667,0.9816666666666668
Humbo,disart,0.98,0.979,0.977,0.978,0.978
Humbo,malleusfix,0.99,0.985,0.989,0.988,0.989
Humbo,normal,0.987,0.981,0.984,0.982,0.981
Humbo,stapesfix,0.974,0.975,0.969,0.973,0.973
Humbo,All,0.98275,0.98,0.97975,0.98025,0.98025
Zme,disart,0.911,0.913,0.91,0.917,0.905
Zme,malleusfix,0.974,0.97,0.973,0.975,0.971
Zme,normal,0.931,0.929,0.938,0.931,0.932
Zme,stapesfix,0.959,0.96,0.96,0.961,0.967
Zme,All,0.94375,0.9430000000000001,0.9452499999999999,0.946,0.94375
