Grandeza,Condicao,Tipo,Diretorio
ER,disart,data,ModelResultProbPathologies/ER_disart.txt
ER,disart,mean,ModelResultProbPathologies/ER_disart_mean.txt
ER,disart,std,ModelResultProbPathologies/ER_disart_std.txt
ER,malleusfix,data,ModelResultProbPathologies/ER_malleusfix.txt
ER,malleusfix,mean,ModelResultProbPathologies/ER_malleusfix_mean.txt
ER,malleusfix,std,ModelResultProbPathologies/ER_malleusfix_std.txt
ER,normal,data,ModelResultProbPathologies/ER_normal.txt
ER,normal,mean,ModelResultProbPathologies/ER_normal_mean.txt
ER,normal,std,ModelResultProbPathologies/ER_normal_std.txt
ER,stapesfix,data,ModelResultProbPathologies/ER_stapesfix.txt
ER,stapesfix,mean,ModelResultProbPathologies/ER_stapesfix_mean.txt
ER,stapesfix,std,ModelResultProbPathologies/ER_stapesfix_std.txt
Hfp,malleusfix,data,ModelResultProbPathologies/Hfp_malleusfix.txt
Hfp,malleusfix,mean,ModelResultProbPathologies/Hfp_malleusfix_mean.txt
Hfp,malleusfix,std,ModelResultProbPathologies/Hfp_malleusfix_std.txt
Hfp,normal,data,ModelResultProbPathologies/Hfp_normal.txt
Hfp,normal,mean,ModelResultProbPathologies/Hfp_normal_mean.txt
Hfp,normal,std,ModelResultProbPathologies/Hfp_normal_std.txt
Hfp,stapesfix,data,ModelResultProbPathologies/Hfp_stapesfix.txt
Hfp,stapesfix,mean,ModelResultProbPathologies/Hfp_stapesfix_mean.txt
Hfp,stapesfix,std,ModelResultProbPathologies/Hfp_stapesfix_std.txt
Humbo,disart,data,ModelResultProbPathologies/Humbo_disart.txt
Humbo,disart,mean,ModelResultProbPathologies/Humbo_disart_mean.txt
Humbo,disart,std,ModelResultProbPathologies/Humbo_disart_std.txt
Humbo,malleusfix,data,ModelResultProbPathologies/Humbo_malleusfix.txt
Humbo,malleusfix,mean,ModelResultProbPathologies/Humbo_malleusfix_mean.txt
Humbo,malleusfix,std,ModelResultProbPathologies/Humbo_malleusfix_std.txt
Humbo,normal,data,ModelResultProbPathologies/Humbo_normal.txt
Humbo,normal,mean,ModelResultProbPathologies/Humbo_normal_mean.txt
Humbo,normal,std,ModelResultProbPathologies/Humbo_normal_std.txt
Humbo,stapesfix,data,ModelResultProbPathologies/Humbo_stapesfix.txt
Humbo,stapesfix,mean,ModelResultProbPathologies/Humbo_stapesfix_mean.txt
Humbo,stapesfix,std,ModelResultProbPathologies/Humbo_stapesfix_std.txt
Zme,disart,data,ModelResultProbPathologies/Zme_disart.txt
Zme,disart,mean,ModelResultProbPathologies/Zme_disart_mean.txt
Zme,disart,std,ModelResultProbPathologies/Zme_disart_std.txt
Zme,malleusfix,data,ModelResultProbPathologies/Zme_malleusfix.txt
Zme,malleusfix,mean,ModelResultProbPathologies/Zme_malleusfix_mean.txt
Zme,malleusfix,std,ModelResultProbPathologies/Zme_malleusfix_std.txt
Zme,normal,data,ModelResultProbPathologies/Zme_normal.txt
Zme,normal,mean,ModelResultProbPathologies/Zme_normal_mean.txt
Zme,normal,std,ModelResultProbPathologies/Zme_normal_std.txt
Zme,stapesfix,data,ModelResultProbPathologies/Zme_stapesfix.txt
Zme,stapesfix,mean,ModelResultProbPathologies/Zme_stapesfix_mean.txt
Zme,stapesfix,std,ModelResultProbPathologies/Zme_stapesfix_std.txt
